user_id,age,occupation,gender
33337,30,executive/managerial,M
33339,33,college/grad student,F
579,26,scientist,M
587,38,artist,M
33359,15,scientist,F
33391,34,college/grad student,M
628,29,customer service,M
33405,30,K-12 student,M
33408,31,scientist,M
33424,34,executive/managerial,M
33427,34,doctor/health care,F
33428,31,college/grad student,M
666,32,other or not specified,M
680,52,technician/engineer,M
33460,25,other or not specified,M
696,71,academic/educator,M
699,33,self-employed,M
33467,25,self-employed,M
708,25,academic/educator,M
718,27,tradesman/craftsman,M
719,33,academic/educator,M
720,67,executive/managerial,M
33491,28,college/grad student,M
730,29,executive/managerial,M
33503,25,college/grad student,M
33528,26,college/grad student,M
33529,30,other or not specified,M
759,33,other or not specified,M
769,18,K-12 student,M
782,30,scientist,M
787,43,sales/marketing,M
790,31,executive/managerial,M
793,38,scientist,F
33572,31,other or not specified,F
33575,33,sales/marketing,M
33579,31,executive/managerial,M
811,26,college/grad student,M
33584,33,college/grad student,M
33588,29,academic/educator,F
821,28,self-employed,M
33592,25,executive/managerial,F
830,34,other or not specified,M
833,30,college/grad student,M
33617,33,lawyer,M
859,27,executive/managerial,M
33635,18,K-12 student,M
33641,25,college/grad student,F
875,26,college/grad student,M
33646,34,self-employed,M
884,27,tradesman/craftsman,M
885,13,K-12 student,M
33662,25,executive/managerial,M
903,40,writer,M
905,34,college/grad student,M
915,31,executive/managerial,M
935,25,self-employed,M
937,25,college/grad student,M
33707,25,self-employed,F
33708,29,executive/managerial,M
33709,27,college/grad student,F
33716,25,college/grad student,M
955,33,sales/marketing,M
961,25,college/grad student,M
987,25,sales/marketing,M
33767,32,scientist,M
1001,28,artist,M
33778,20,doctor/health care,F
33781,27,college/grad student,M
33780,25,executive/managerial,M
1014,25,retired,M
1019,29,self-employed,M
33802,34,executive/managerial,M
1037,32,other or not specified,M
33807,33,college/grad student,M
33822,27,programmer,M
1056,25,college/grad student,F
1060,32,college/grad student,F
33841,25,sales/marketing,M
1085,18,sales/marketing,M
1090,32,executive/managerial,M
33873,22,college/grad student,M
33884,31,scientist,F
1128,31,college/grad student,F
33904,33,other or not specified,M
1143,26,college/grad student,M
1152,27,other or not specified,M
1153,26,doctor/health care,M
1159,32,sales/marketing,M
33931,32,college/grad student,M
1186,27,executive/managerial,M
33960,27,academic/educator,M
33967,27,self-employed,F
33975,33,self-employed,F
33978,31,scientist,M
33991,29,sales/marketing,M
34004,28,college/grad student,M
1239,25,college/grad student,M
34022,32,artist,M
1256,28,executive/managerial,M
1257,30,executive/managerial,M
34045,33,executive/managerial,M
1280,31,scientist,M
1312,26,sales/marketing,M
34087,38,academic/educator,F
34103,26,sales/marketing,M
1338,18,technician/engineer,M
34112,31,homemaker,F
34132,25,college/grad student,M
1367,26,sales/marketing,M
34141,25,executive/managerial,M
1377,28,doctor/health care,M
1384,34,college/grad student,M
34169,29,college/grad student,F
34172,25,self-employed,M
34176,27,executive/managerial,M
1413,32,college/grad student,F
1425,33,college/grad student,M
1459,32,scientist,M
1487,25,executive/managerial,M
34267,31,other or not specified,F
34270,28,college/grad student,M
1506,51,academic/educator,M
1538,27,executive/managerial,M
1539,29,sales/marketing,M
34311,31,executive/managerial,M
1548,28,sales/marketing,F
34324,31,sales/marketing,M
34337,29,sales/marketing,M
1573,21,artist,M
34346,31,executive/managerial,M
1593,26,retired,F
34367,27,scientist,M
1599,34,self-employed,M
1600,31,sales/marketing,F
1604,32,sales/marketing,M
34375,34,artist,M
1610,25,scientist,F
1615,33,scientist,M
34392,28,K-12 student,F
34394,25,scientist,M
1631,32,college/grad student,M
1641,30,self-employed,M
34420,30,technician/engineer,M
1656,32,executive/managerial,M
1659,25,executive/managerial,M
34430,18,college/grad student,M
34441,29,academic/educator,M
34458,30,college/grad student,M
34466,27,executive/managerial,M
34492,28,executive/managerial,M
34498,28,other or not specified,F
1731,31,retired,M
1736,18,college/grad student,M
1739,27,college/grad student,F
1755,40,sales/marketing,M
1758,18,sales/marketing,M
34534,30,college/grad student,M
1774,27,scientist,M
1803,27,K-12 student,F
1826,30,college/grad student,F
1832,26,college/grad student,M
34600,25,college/grad student,M
1835,31,sales/marketing,M
1837,31,artist,M
1840,34,scientist,M
1861,25,scientist,M
34630,32,homemaker,F
1874,34,self-employed,M
34655,34,college/grad student,M
1890,27,sales/marketing,M
34663,18,K-12 student,F
34667,41,college/grad student,F
34674,30,technician/engineer,M
34686,30,self-employed,M
1942,31,artist,M
1946,33,sales/marketing,M
1948,30,academic/educator,M
1968,18,K-12 student,M
1972,34,clerical/admin,M
1995,26,executive/managerial,M
1996,46,academic/educator,F
2011,26,technician/engineer,M
2016,26,college/grad student,M
34792,29,executive/managerial,M
2035,27,scientist,M
2058,27,college/grad student,M
2061,29,self-employed,F
2064,31,sales/marketing,M
2072,18,sales/marketing,M
34840,27,other or not specified,M
2081,30,artist,M
2082,19,sales/marketing,M
34853,32,K-12 student,M
34875,30,homemaker,M
34892,40,executive/managerial,M
2125,30,academic/educator,M
34900,39,scientist,M
2139,27,self-employed,F
2151,21,college/grad student,M
2192,33,executive/managerial,M
2193,21,sales/marketing,M
34962,29,clerical/admin,M
2202,27,sales/marketing,M
2212,30,technician/engineer,M
2218,28,executive/managerial,M
34995,34,sales/marketing,M
35000,28,college/grad student,M
35003,33,academic/educator,M
2267,28,college/grad student,M
35045,27,college/grad student,M
35049,27,scientist,M
35056,34,college/grad student,M
35057,25,artist,F
2312,28,doctor/health care,M
2313,25,executive/managerial,M
2347,34,college/grad student,M
35117,18,K-12 student,M
35137,25,sales/marketing,F
35139,30,programmer,M
35147,33,scientist,M
35168,32,executive/managerial,M
2405,28,college/grad student,M
2433,31,clerical/admin,F
35214,29,executive/managerial,F
35217,32,self-employed,M
35227,43,sales/marketing,M
2470,31,scientist,F
2474,33,sales/marketing,M
35248,27,college/grad student,M
35252,30,college/grad student,M
2484,54,artist,F
35255,25,executive/managerial,M
35259,17,K-12 student,M
2493,27,self-employed,M
35260,29,executive/managerial,M
2498,27,college/grad student,M
2504,27,executive/managerial,M
2507,33,clerical/admin,M
2535,32,college/grad student,F
2549,33,sales/marketing,M
35321,32,self-employed,M
35323,25,other or not specified,M
2557,31,executive/managerial,M
35329,25,college/grad student,M
35346,28,executive/managerial,M
2592,29,academic/educator,F
2593,32,college/grad student,M
2601,32,sales/marketing,M
35375,31,college/grad student,M
35376,31,scientist,M
2612,30,executive/managerial,M
35402,89,college/grad student,F
35412,25,college/grad student,M
35415,25,sales/marketing,M
2649,30,homemaker,M
2656,28,scientist,M
2659,33,executive/managerial,M
2664,33,retired,M
2674,34,college/grad student,M
2683,18,scientist,M
35467,25,tradesman/craftsman,M
35472,29,college/grad student,M
35474,33,scientist,M
2717,32,college/grad student,M
35502,31,college/grad student,M
35509,29,college/grad student,M
2766,34,other or not specified,M
2768,33,executive/managerial,M
2769,29,college/grad student,F
2786,27,college/grad student,F
35559,33,college/grad student,M
2797,29,college/grad student,M
35603,29,college/grad student,F
35608,27,college/grad student,M
35614,27,executive/managerial,M
2849,31,self-employed,M
35621,34,college/grad student,M
35627,28,executive/managerial,M
35643,18,sales/marketing,M
35647,27,retired,F
35657,25,self-employed,M
2892,26,scientist,M
35660,26,executive/managerial,M
2923,27,other or not specified,M
35698,27,self-employed,M
2942,28,sales/marketing,M
2952,26,other or not specified,M
2978,52,executive/managerial,M
2981,28,artist,M
2984,26,executive/managerial,M
2992,24,sales/marketing,F
35762,32,sales/marketing,M
3004,25,college/grad student,M
3021,33,academic/educator,F
35790,26,tradesman/craftsman,M
3032,30,scientist,M
3074,29,college/grad student,M
3083,26,executive/managerial,M
3085,34,academic/educator,M
35858,28,college/grad student,M
3102,25,sales/marketing,M
3107,26,executive/managerial,M
3120,31,other or not specified,F
3122,25,executive/managerial,M
35892,26,college/grad student,F
35905,32,college/grad student,F
35906,27,scientist,M
35909,26,college/grad student,M
3157,19,sales/marketing,F
3162,31,college/grad student,F
35951,29,college/grad student,M
3187,51,self-employed,F
35955,33,college/grad student,M
3192,23,executive/managerial,M
3194,29,college/grad student,M
35967,30,executive/managerial,M
35977,18,K-12 student,M
36002,31,lawyer,F
3239,25,scientist,M
3265,27,academic/educator,M
36036,31,K-12 student,M
3267,22,college/grad student,M
36039,34,executive/managerial,M
3276,42,executive/managerial,M
3281,15,self-employed,F
3283,33,other or not specified,F
36078,30,other or not specified,M
36079,31,college/grad student,M
36080,29,college/grad student,M
3320,32,sales/marketing,M
36094,33,scientist,M
36108,25,college/grad student,M
36110,30,scientist,M
36116,33,academic/educator,F
3358,27,unemployed,M
3364,33,sales/marketing,M
3371,33,executive/managerial,M
3383,34,scientist,M
36158,30,college/grad student,M
3391,33,scientist,M
3421,34,scientist,M
3420,25,scientist,M
36201,19,sales/marketing,M
36202,34,executive/managerial,M
3437,42,retired,M
36209,25,self-employed,M
3455,33,college/grad student,M
3459,27,college/grad student,M
36236,33,other or not specified,M
3467,30,college/grad student,M
36246,51,retired,F
3478,31,self-employed,M
36255,24,sales/marketing,M
3493,27,college/grad student,M
3500,25,scientist,M
3512,29,scientist,M
36294,26,scientist,M
36303,26,college/grad student,M
36311,26,technician/engineer,M
36325,27,scientist,M
3563,30,homemaker,M
36343,54,academic/educator,M
3583,27,self-employed,M
3591,18,K-12 student,M
36362,33,sales/marketing,M
3601,28,college/grad student,M
36411,33,college/grad student,M
3653,34,college/grad student,M
3658,19,self-employed,M
36428,21,sales/marketing,M
3673,27,sales/marketing,F
3676,39,sales/marketing,M
3678,27,college/grad student,M
3679,27,self-employed,M
36452,61,executive/managerial,F
36457,28,executive/managerial,M
36467,28,other or not specified,M
3702,32,college/grad student,M
36478,33,executive/managerial,M
3754,26,executive/managerial,M
36524,31,executive/managerial,M
36525,29,sales/marketing,M
36536,25,scientist,M
3777,32,college/grad student,M
36549,20,executive/managerial,M
3795,23,sales/marketing,M
36572,42,college/grad student,M
3804,33,sales/marketing,M
3814,34,executive/managerial,F
36585,33,writer,M
3828,26,executive/managerial,M
36595,30,college/grad student,M
3840,33,executive/managerial,M
36615,27,tradesman/craftsman,M
3850,34,other or not specified,M
3854,29,scientist,M
36625,31,artist,M
36627,37,college/grad student,M
36650,18,self-employed,M
36660,28,executive/managerial,M
36676,27,writer,M
36688,26,scientist,M
36691,26,college/grad student,M
3925,27,sales/marketing,M
36703,25,college/grad student,F
36705,30,college/grad student,M
36708,33,self-employed,M
36725,21,artist,F
36734,34,college/grad student,M
36746,25,college/grad student,F
3994,26,college/grad student,M
36769,29,executive/managerial,M
4012,34,other or not specified,F
36788,42,executive/managerial,M
4026,27,other or not specified,M
4028,31,college/grad student,F
4036,37,lawyer,M
36816,28,college/grad student,M
36820,30,college/grad student,M
4055,8,sales/marketing,M
36823,27,homemaker,F
4057,22,sales/marketing,M
36825,33,self-employed,M
36830,30,college/grad student,M
4064,39,college/grad student,M
4069,27,executive/managerial,F
4073,25,executive/managerial,M
36873,34,college/grad student,M
36903,30,executive/managerial,M
36904,25,other or not specified,M
4148,44,academic/educator,M
36919,32,homemaker,M
36961,27,executive/managerial,M
4195,27,executive/managerial,M
4198,29,college/grad student,M
36977,25,other or not specified,M
36984,29,academic/educator,M
4220,20,college/grad student,M
4223,26,college/grad student,M
4229,30,scientist,M
37023,33,scientist,F
4259,34,executive/managerial,M
37035,26,college/grad student,M
4267,27,academic/educator,M
37044,81,academic/educator,M
37047,26,scientist,M
37052,26,scientist,M
4289,25,academic/educator,F
37065,28,executive/managerial,M
4302,32,artist,M
4307,26,clerical/admin,M
37075,30,sales/marketing,M
37080,26,executive/managerial,M
4342,9,scientist,M
4362,33,college/grad student,M
4378,19,executive/managerial,M
4386,34,college/grad student,M
37163,26,executive/managerial,M
4416,28,scientist,M
37182,27,self-employed,M
37189,34,executive/managerial,M
37193,33,college/grad student,F
37195,31,college/grad student,M
37197,27,scientist,M
37208,34,executive/managerial,M
37209,28,college/grad student,M
37250,38,sales/marketing,M
37255,29,sales/marketing,M
4500,26,sales/marketing,F
4502,43,executive/managerial,M
37271,27,college/grad student,F
4504,27,technician/engineer,M
4506,30,other or not specified,F
4520,31,other or not specified,F
37295,25,sales/marketing,M
37296,34,sales/marketing,M
4532,30,executive/managerial,M
37305,29,programmer,M
37310,26,other or not specified,M
37313,25,executive/managerial,M
37323,31,scientist,M
37332,34,doctor/health care,F
4568,28,scientist,M
4572,33,academic/educator,M
4582,25,executive/managerial,M
4594,26,sales/marketing,M
37361,31,college/grad student,M
37368,34,lawyer,F
37374,27,college/grad student,F
4639,25,college/grad student,M
4650,29,writer,F
37424,29,college/grad student,M
4666,25,K-12 student,M
4697,32,sales/marketing,F
4713,27,executive/managerial,M
37492,29,executive/managerial,M
37504,26,executive/managerial,M
37505,26,college/grad student,M
4758,33,executive/managerial,M
37532,31,clerical/admin,F
37556,29,self-employed,M
4788,28,executive/managerial,M
37561,30,executive/managerial,M
4802,31,homemaker,M
37571,32,K-12 student,M
37583,34,executive/managerial,M
4837,34,college/grad student,F
4854,18,homemaker,M
37642,26,other or not specified,M
37646,33,executive/managerial,M
4880,31,other or not specified,M
4883,55,executive/managerial,M
4889,28,executive/managerial,M
37664,32,college/grad student,F
4907,29,self-employed,F
4936,30,executive/managerial,M
4944,27,other or not specified,M
37714,33,self-employed,M
37725,29,college/grad student,M
4963,36,academic/educator,M
37736,21,scientist,M
37738,29,scientist,M
37742,33,college/grad student,M
4997,87,retired,M
5009,50,academic/educator,M
5011,32,artist,M
37781,29,sales/marketing,M
37785,27,academic/educator,F
37786,27,programmer,M
5023,32,self-employed,M
5053,32,college/grad student,M
5066,26,K-12 student,M
5099,28,college/grad student,M
5102,29,sales/marketing,F
37882,19,scientist,M
37893,32,other or not specified,F
5125,32,executive/managerial,M
5130,34,sales/marketing,M
37910,33,college/grad student,M
37919,31,executive/managerial,M
5177,27,sales/marketing,M
5184,26,executive/managerial,M
37964,31,executive/managerial,M
37965,30,artist,F
5198,28,sales/marketing,M
5207,25,college/grad student,M
5211,29,executive/managerial,M
37984,9,K-12 student,M
37995,25,homemaker,M
5229,32,college/grad student,M
38003,27,sales/marketing,M
38009,27,executive/managerial,M
38014,32,executive/managerial,M
5254,25,other or not specified,F
38025,26,artist,M
5278,41,executive/managerial,F
5282,27,executive/managerial,M
5279,29,college/grad student,M
38064,29,college/grad student,F
5302,34,self-employed,M
38071,28,college/grad student,M
38073,25,sales/marketing,M
38075,15,K-12 student,M
38087,30,other or not specified,F
38095,26,other or not specified,M
38110,25,college/grad student,M
38115,34,other or not specified,M
5350,23,sales/marketing,M
5353,28,sales/marketing,M
5371,27,scientist,M
5397,33,college/grad student,M
5400,25,college/grad student,M
5417,29,executive/managerial,M
38185,75,retired,F
5419,29,college/grad student,M
38197,32,scientist,F
38204,30,homemaker,F
38209,32,other or not specified,M
38219,34,sales/marketing,M
5455,35,academic/educator,F
38228,27,artist,F
5462,30,homemaker,M
5485,33,scientist,M
38257,31,executive/managerial,M
5495,19,customer service,M
5502,82,retired,F
5523,18,sales/marketing,M
38292,30,clerical/admin,F
38302,26,scientist,M
5539,21,sales/marketing,M
5543,34,college/grad student,M
38316,28,college/grad student,M
38320,28,other or not specified,M
38328,32,other or not specified,F
5573,33,sales/marketing,M
5581,30,technician/engineer,M
38356,31,executive/managerial,M
5591,27,scientist,M
38361,27,executive/managerial,M
38380,31,college/grad student,M
38382,39,executive/managerial,F
5618,28,college/grad student,M
38390,25,executive/managerial,M
38423,25,executive/managerial,M
5655,32,other or not specified,F
5657,39,self-employed,M
5658,25,sales/marketing,F
38427,24,technician/engineer,M
38430,34,sales/marketing,M
38437,29,executive/managerial,M
38443,26,self-employed,F
5682,32,scientist,M
38451,25,college/grad student,M
5700,30,self-employed,F
5716,29,executive/managerial,M
38501,19,scientist,M
38509,29,college/grad student,M
5744,31,tradesman/craftsman,M
38515,27,academic/educator,F
5749,34,sales/marketing,M
38521,25,college/grad student,M
5759,32,college/grad student,M
5765,30,self-employed,M
38567,30,executive/managerial,M
38585,32,sales/marketing,F
5820,27,sales/marketing,M
38614,33,college/grad student,M
5846,34,college/grad student,M
38618,32,clerical/admin,M
38620,33,sales/marketing,M
38622,34,college/grad student,M
38626,33,self-employed,M
38638,30,college/grad student,M
38646,26,sales/marketing,M
5891,27,scientist,M
5892,34,executive/managerial,M
38674,29,technician/engineer,M
38689,30,college/grad student,M
38697,32,college/grad student,M
5936,32,college/grad student,F
38711,32,sales/marketing,M
5947,27,other or not specified,M
38715,34,college/grad student,M
5951,32,self-employed,M
5956,27,college/grad student,F
38752,32,college/grad student,M
38754,32,programmer,M
38759,31,scientist,M
38761,34,executive/managerial,M
6007,18,sales/marketing,F
6014,31,executive/managerial,M
6046,12,sales/marketing,M
38821,25,college/grad student,M
38824,10,artist,F
38827,34,executive/managerial,F
38889,25,executive/managerial,M
6133,71,other or not specified,F
6173,22,sales/marketing,M
6182,23,executive/managerial,M
6185,26,college/grad student,F
6186,29,college/grad student,M
38964,32,self-employed,F
6199,18,K-12 student,F
38988,31,sales/marketing,M
6229,31,tradesman/craftsman,M
39017,27,homemaker,M
39021,26,college/grad student,F
6253,25,college/grad student,M
6268,34,self-employed,M
39047,32,sales/marketing,M
39053,31,self-employed,F
6286,27,academic/educator,M
6314,44,sales/marketing,M
6315,28,executive/managerial,M
6327,29,college/grad student,M
39099,38,clerical/admin,M
39100,30,homemaker,M
6331,34,homemaker,M
39117,34,sales/marketing,M
39118,18,programmer,M
39122,26,other or not specified,F
39136,53,doctor/health care,F
6370,34,college/grad student,F
39143,32,college/grad student,M
6378,9,K-12 student,M
6386,30,executive/managerial,M
6389,29,executive/managerial,M
39157,25,college/grad student,M
6422,34,college/grad student,F
39203,32,college/grad student,F
6441,30,technician/engineer,M
6443,30,executive/managerial,M
6453,26,scientist,M
39222,28,sales/marketing,M
39225,29,executive/managerial,M
6464,34,college/grad student,M
6466,20,college/grad student,M
39239,25,college/grad student,M
6476,31,self-employed,M
6480,34,self-employed,M
39252,78,executive/managerial,M
6493,9,K-12 student,M
39281,26,scientist,M
6515,26,college/grad student,M
6521,31,college/grad student,M
39303,29,executive/managerial,F
39315,21,other or not specified,M
6560,27,college/grad student,M
39335,30,college/grad student,M
39339,61,doctor/health care,M
6576,28,college/grad student,M
6578,34,sales/marketing,M
39349,25,college/grad student,M
39382,35,sales/marketing,M
39388,34,technician/engineer,M
39399,27,executive/managerial,M
6638,32,college/grad student,M
39411,31,self-employed,M
6648,29,executive/managerial,M
39436,27,scientist,M
6684,25,scientist,F
39460,31,college/grad student,F
39490,32,scientist,M
6726,33,scientist,M
6739,36,unemployed,M
6750,22,scientist,M
39519,29,college/grad student,M
39528,27,self-employed,F
6777,29,college/grad student,M
39545,31,executive/managerial,M
39558,32,scientist,M
39581,27,other or not specified,M
39585,28,college/grad student,F
6822,32,academic/educator,F
39604,32,sales/marketing,M
39625,21,self-employed,M
39628,34,college/grad student,M
39638,25,executive/managerial,M
39640,31,college/grad student,F
39645,32,technician/engineer,M
6896,27,technician/engineer,M
6900,65,retired,F
6901,33,college/grad student,M
39682,26,college/grad student,M
6915,28,sales/marketing,M
39687,31,scientist,M
6919,30,executive/managerial,F
39690,29,self-employed,M
39706,27,executive/managerial,M
6940,26,sales/marketing,M
6942,33,college/grad student,F
39714,24,scientist,M
39716,27,scientist,M
6952,27,scientist,M
39721,28,college/grad student,M
39722,31,K-12 student,M
39725,30,executive/managerial,M
6959,34,scientist,M
39733,26,academic/educator,F
39742,61,academic/educator,F
6980,28,executive/managerial,M
39755,34,self-employed,M
39758,30,technician/engineer,M
6995,20,sales/marketing,M
39766,42,clerical/admin,M
39784,28,college/grad student,M
39786,32,executive/managerial,M
39794,25,college/grad student,M
39800,31,sales/marketing,M
39801,25,college/grad student,M
7039,32,other or not specified,M
39808,33,college/grad student,M
39814,30,other or not specified,M
7051,43,clerical/admin,F
7054,29,college/grad student,M
39829,27,sales/marketing,M
39830,26,executive/managerial,M
39834,28,scientist,M
7088,27,sales/marketing,M
39859,28,self-employed,F
39860,29,sales/marketing,M
39868,90,sales/marketing,M
7116,18,scientist,M
39895,28,other or not specified,F
7134,67,academic/educator,M
39907,23,sales/marketing,M
7140,27,executive/managerial,M
7139,29,self-employed,F
7150,28,college/grad student,M
7160,27,executive/managerial,M
39934,28,college/grad student,M
7167,33,college/grad student,M
7173,25,K-12 student,M
7178,25,programmer,M
39954,18,sales/marketing,M
7187,34,executive/managerial,M
39961,28,other or not specified,F
39970,26,self-employed,F
39985,33,scientist,M
7229,33,executive/managerial,M
39999,34,college/grad student,F
7241,34,executive/managerial,M
40016,29,scientist,M
7256,27,college/grad student,M
7257,29,executive/managerial,M
7261,25,college/grad student,M
7276,51,self-employed,F
7282,30,scientist,M
40051,34,college/grad student,M
40055,26,college/grad student,M
7295,27,other or not specified,M
7302,25,college/grad student,M
7306,28,homemaker,M
7308,26,college/grad student,M
40077,33,sales/marketing,M
7317,25,college/grad student,M
7320,30,writer,M
40092,34,college/grad student,M
7327,26,college/grad student,M
7336,17,sales/marketing,M
40110,34,sales/marketing,M
7353,70,retired,F
7377,29,sales/marketing,F
40154,30,scientist,M
7386,21,homemaker,M
7412,32,sales/marketing,M
40195,25,executive/managerial,M
40201,29,college/grad student,M
7436,26,executive/managerial,M
40206,25,sales/marketing,M
7439,25,self-employed,F
40216,22,sales/marketing,F
40217,28,executive/managerial,M
40237,31,executive/managerial,M
40248,33,retired,M
7499,27,college/grad student,F
40277,52,academic/educator,M
40279,26,scientist,M
40281,23,sales/marketing,F
40283,18,sales/marketing,M
7532,20,college/grad student,M
40310,28,academic/educator,M
40329,34,executive/managerial,M
40343,32,executive/managerial,M
7582,34,scientist,M
40352,32,executive/managerial,M
7586,28,executive/managerial,M
7592,34,sales/marketing,M
40364,36,academic/educator,M
40371,27,self-employed,M
40375,20,sales/marketing,M
40384,28,sales/marketing,M
40393,32,sales/marketing,M
40401,25,college/grad student,M
40403,26,K-12 student,M
40413,25,programmer,M
7646,34,homemaker,M
40430,26,sales/marketing,M
7668,29,tradesman/craftsman,F
40440,33,college/grad student,M
40465,25,programmer,M
7697,26,college/grad student,M
40484,27,college/grad student,M
40492,27,college/grad student,M
40497,28,college/grad student,M
40508,26,sales/marketing,F
7744,32,sales/marketing,F
7754,19,artist,M
7764,34,self-employed,M
7769,28,self-employed,F
7773,21,college/grad student,M
40564,30,scientist,M
40584,29,college/grad student,M
40588,27,college/grad student,M
7825,30,scientist,M
40593,34,self-employed,M
7832,27,executive/managerial,M
7839,31,other or not specified,M
7859,25,executive/managerial,M
7868,34,scientist,M
7877,34,self-employed,M
40647,29,self-employed,M
7883,33,executive/managerial,M
7887,25,executive/managerial,M
40673,25,college/grad student,F
7915,26,self-employed,M
7921,21,college/grad student,M
40703,29,scientist,M
7937,25,sales/marketing,M
40707,38,technician/engineer,M
7950,33,college/grad student,M
7959,18,K-12 student,F
7961,32,college/grad student,M
40737,32,college/grad student,M
7987,34,scientist,M
40764,34,scientist,M
40775,30,executive/managerial,M
8010,30,other or not specified,M
8011,34,college/grad student,M
40781,25,self-employed,M
8019,32,clerical/admin,M
8020,25,scientist,F
40791,21,college/grad student,M
40795,27,college/grad student,M
8026,33,scientist,M
40817,33,scientist,M
8061,29,college/grad student,M
8068,29,executive/managerial,M
8075,28,college/grad student,M
8094,26,scientist,M
40865,32,clerical/admin,M
40893,31,scientist,F
8131,25,college/grad student,F
8140,29,sales/marketing,M
40928,25,scientist,M
40930,33,executive/managerial,F
8160,28,executive/managerial,M
8174,34,college/grad student,M
40944,29,self-employed,M
40949,30,sales/marketing,M
40950,34,other or not specified,M
40955,31,sales/marketing,F
40966,33,self-employed,M
40971,34,homemaker,M
40974,30,executive/managerial,M
8209,26,executive/managerial,M
8227,28,college/grad student,F
41011,30,homemaker,F
41015,28,scientist,M
41028,28,executive/managerial,M
41043,30,other or not specified,M
8282,29,K-12 student,M
8285,34,other or not specified,M
8298,33,other or not specified,M
8301,25,college/grad student,M
8314,38,other or not specified,M
8323,28,executive/managerial,M
41091,30,sales/marketing,M
8351,37,other or not specified,F
41123,33,other or not specified,M
8365,86,retired,M
41137,30,college/grad student,M
8375,30,scientist,M
8377,27,college/grad student,M
41147,31,other or not specified,F
8392,30,college/grad student,M
8395,34,academic/educator,M
8399,30,college/grad student,M
41173,30,college/grad student,M
41183,34,executive/managerial,M
41190,38,self-employed,M
41193,27,homemaker,M
41197,26,college/grad student,F
41212,18,scientist,M
8449,24,sales/marketing,M
41218,29,executive/managerial,M
41222,31,K-12 student,M
41224,33,college/grad student,M
8455,32,college/grad student,M
8463,25,programmer,M
8468,30,college/grad student,M
41237,29,college/grad student,M
41239,32,college/grad student,M
8474,29,college/grad student,M
8491,34,college/grad student,M
41267,43,writer,M
41281,26,clerical/admin,M
8523,17,K-12 student,M
41294,32,technician/engineer,M
41295,34,other or not specified,M
8546,33,college/grad student,F
8548,37,executive/managerial,F
8556,32,scientist,M
8558,26,sales/marketing,M
8564,25,college/grad student,M
41336,31,college/grad student,F
8589,26,executive/managerial,M
41362,33,executive/managerial,M
41376,31,college/grad student,M
41388,32,college/grad student,F
41395,29,executive/managerial,M
41407,31,tradesman/craftsman,M
41413,26,self-employed,M
41420,33,college/grad student,M
8656,31,lawyer,M
8657,31,other or not specified,F
41429,30,college/grad student,F
8667,31,executive/managerial,M
8670,33,executive/managerial,M
41443,24,sales/marketing,M
41452,24,scientist,M
41464,28,sales/marketing,M
41466,29,sales/marketing,F
8724,25,college/grad student,M
41504,18,K-12 student,M
8744,29,other or not specified,M
